subj,RT,cond,type,confresponse
103,1.6714000701904297,words,2,4
103,0.6862999796867371,words,2,1
103,1.1993000507354736,words,1,1
103,0.7060999870300293,words,2,1
103,0.6972000002861023,words,1,4
103,1.1888999938964844,words,1,4
103,0.8995000123977661,words,1,1
103,1.0376999378204346,words,2,4
103,0.7483000159263611,words,1,1
103,2.27839994430542,words,1,4
103,0.7160999774932861,words,2,1
103,0.5205000042915344,words,1,1
103,0.9044000506401062,words,1,4
103,0.6347000002861023,words,1,1
103,0.8862999677658081,words,2,1
103,0.8495000004768372,words,1,4
103,0.836899995803833,words,1,4
103,0.4431000053882599,words,1,1
103,0.49810001254081726,words,2,1
103,0.32899999618530273,words,1,4
103,0.31290000677108765,words,2,1
103,0.3959999978542328,words,1,4
103,0.31470000743865967,words,2,1
103,0.7124999761581421,words,1,1
103,0.383899986743927,words,1,4
103,0.39320001006126404,words,2,1
103,0.7029000520706177,words,2,1
103,0.33629998564720154,words,2,4
103,0.902400016784668,words,1,1
103,0.869700014591217,words,2,1
103,0.7494000196456909,words,1,1
103,0.361299991607666,words,1,4
103,0.6809999942779541,words,1,1
103,0.24220000207424164,words,2,99
103,0.8957000374794006,words,2,4
103,0.7357999682426453,words,2,4
103,0.5449000000953674,words,1,1
103,0.6675999760627747,words,1,1
103,0.4672999978065491,words,2,4
103,0.45500001311302185,words,2,1
103,0.8849000334739685,words,2,1
103,0.8824999928474426,words,2,1
103,1.0095999240875244,words,2,1
103,0.8091999888420105,words,2,1
103,0.8940999507904053,words,2,4
103,0.4968999922275543,words,2,4
103,0.6974999904632568,words,1,4
103,4.773099899291992,words,2,1
103,1.5181000232696533,words,2,1
103,1.170300006866455,words,2,4
103,0.7369999885559082,words,2,1
103,0.808899998664856,words,2,4
103,1.2414000034332275,words,1,4
103,0.7207000255584717,words,1,4
103,0.8707000017166138,words,2,1
103,1.645799994468689,words,1,4
103,0.7994000315666199,words,2,4
103,0.7325000166893005,words,2,1
103,1.1876999139785767,words,2,4
103,1.1239999532699585,words,1,4
103,0.6484000086784363,words,2,1
103,0.9837000370025635,words,1,1
103,0.8424000144004822,words,2,1
103,0.6437000036239624,words,1,4
103,0.6969000101089478,words,2,1
103,0.829200029373169,words,1,4
103,1.300800085067749,words,1,4
103,0.7412999868392944,words,1,4
103,1.5844000577926636,words,2,1
103,0.5342999696731567,words,1,4
103,0.8730000257492065,words,1,4
103,0.7817000150680542,words,1,1
103,0.7700999975204468,words,1,4
103,0.8052000403404236,words,1,1
103,0.2994000017642975,words,2,4
103,2.247300148010254,words,1,4
103,1.1509000062942505,words,2,1
103,0.6794999837875366,words,1,4
103,0.7506999969482422,words,2,1
103,0.43970000743865967,words,2,4
103,3.65339994430542,words,1,4
103,0.7757999897003174,words,2,4
103,1.7595999240875244,words,2,1
103,1.0192999839782715,words,2,1
103,0.9088000059127808,words,1,4
103,0.815500020980835,words,1,4
103,0.622700035572052,words,1,4
103,0.6399000287055969,words,1,4
103,0.7102000117301941,words,2,1
103,0.9101999998092651,words,2,1
103,1.3375999927520752,words,1,1
103,0.6204000115394592,words,1,4
103,0.786799967288971,words,2,1
103,0.49060001969337463,words,1,4
103,0.7400999665260315,words,2,1
103,3.617000102996826,faces,2,1
103,0.8271999955177307,faces,1,1
103,1.1175999641418457,faces,1,1
103,0.7962000370025635,faces,2,4
103,0.7110999822616577,faces,1,4
103,0.636400043964386,faces,1,1
103,0.6371999979019165,faces,2,1
103,1.9009000062942505,faces,1,4
103,1.4971998929977417,faces,1,4
103,1.4273000955581665,faces,2,1
103,0.8762999773025513,faces,2,1
